dataset,full_eval,descriptor_computation_time,loading_time,full_time,cumulative_sum
Adiac,636.032772064209,15.727799654006958,0.2328109741210936,651.993382692337,4170.7535424232465
Symbols,492.28718519210787,2.224199056625366,0.4010524749755856,494.9124367237088,3518.76015973091
MedicalImages,470.8434963226318,8.791192054748535,0.2958831787109372,479.93057155609125,3023.8477230072012
Ham,262.80869364738464,10.177709817886353,0.0932493209838864,273.0796527862549,2543.91715145111
ProximalPhalanxOutlineCorrect,167.94936275482175,11.045154333114624,0.2233667373657224,179.2178838253021,2270.837498664855
MiddlePhalanxOutlineCorrect,147.99371838569635,11.08483099937439,0.394752502441406,159.47330188751215,2091.619614839553
Car,148.23145866394043,7.502499580383301,0.0668401718139648,155.8007984161377,1932.1463129520407
DistalPhalanxOutlineCorrect,140.06754684448237,11.05826187133789,0.2185688018798828,151.34437751770014,1776.345514535903
Herring,134.94117736816406,7.074640512466431,0.0706281661987304,142.08644604682922,1625.0011370182028
ShapeletSim,112.20997810363767,2.135751247406006,0.1040391921997068,114.44976854324338,1482.9146909713736
Trace,93.19226741790771,5.992622137069702,0.080435752868652,99.26532530784607,1368.4649224281302
Meat,89.70542907714844,5.822160005569458,0.0631446838378904,95.59073376655579,1269.1995971202841
ToeSegmentation1,84.91492938995357,2.446453809738159,0.1016693115234372,87.46305251121517,1173.6088633537283
ProximalPhalanxOutlineAgeGroup,78.61766695976254,7.366874933242798,0.1579790115356444,86.14252090454099,1086.1458108425131
ProximalPhalanxTW,78.31126451492307,7.435637474060059,0.1595954895019528,85.90649747848508,1000.0032899379721
DiatomSizeReduction,74.07603406906122,1.276111125946045,0.12261962890625,75.47476482391352,914.096792459487
MiddlePhalanxTW,65.78965663909909,7.348318576812744,0.1453561782836912,73.28333139419553,838.6220276355734
ToeSegmentation2,69.7747206687927,2.7200076580047607,0.0698041915893552,72.56453251838681,765.3386962413779
CBF,70.41506767272936,0.8749427795410155,0.2568750381469724,71.54688549041735,692.774163722991
MiddlePhalanxOutlineAgeGroup,57.837715625762904,7.381133794784546,0.2719192504882812,65.49076867103574,621.2272782325737
ECGFiveDays,56.4556646347044,0.7427122592926024,0.24294376373291,57.44132065772991,555.7365095615379
ArrowHead,54.123651981353724,2.1843550205230713,0.0813446044921872,56.38935160636898,498.29518890380797
DistalPhalanxOutlineAgeGroup,47.31566357612608,7.340323209762573,0.1429805755615232,54.798967361450174,441.905837297439
DistalPhalanxTW,47.19132161140439,7.4209208488464355,0.139616012573242,54.75185847282407,387.1068699359888
OliveOil,36.86938762664795,3.743835926055908,0.0406532287597656,40.65387678146362,332.3550114631647
MoteStrain,36.700881004333354,0.42062997817993153,0.3125839233398436,37.43409490585313,291.7011346817011
Plane,33.302414417266824,3.423764228820801,0.0689878463745116,36.79516649246214,254.26703977584796
FaceFour,32.78072929382323,1.8632538318634033,0.0524597167968748,34.696442842483506,217.47187328338583
Beef,25.508222579956055,3.1632139682769775,0.039288520812988,28.71072506904602,182.7754304409023
TwoLeadECG,27.936336040496666,0.4677569866180419,0.2993478775024412,28.70344090461715,154.0647053718563
GunPoint,24.54582452774046,1.7322580814361572,0.0710916519165036,26.349174261093122,125.36126446723915
Wine,21.69021749496459,2.9754691123962402,0.040771484375,24.70645809173583,99.01209020614603
ECG200,16.72770977020261,2.2379279136657715,0.0638170242309568,19.029454708099337,74.3056321144102
BirdChicken,14.008526802062987,2.3285140991210938,0.0345640182495116,16.371604919433594,55.276177406310865
BeetleFly,13.509836196899412,2.329684019088745,0.0330648422241208,15.872585058212278,38.90457248687727
ItalyPowerDemand,12.350294351577595,0.44599723815917947,0.2389116287231444,13.03520321845992,23.03198742866499
Coffee,8.135366439819329,1.8267698287963867,0.0346479415893552,9.996784210205071,9.996784210205071
